Episode 0, Avg Reward: 367.50, Best Reward: 367.50, remain_bees: 46, step: 207
Episode 10, Avg Reward: 339.76, Best Reward: 759.20, remain_bees: 45, step: 1200
Episode 20, Avg Reward: 159.82, Best Reward: 759.20, remain_bees: 49, step: 84
Episode 30, Avg Reward: 265.51, Best Reward: 759.20, remain_bees: 45, step: 210
Episode 40, Avg Reward: 482.56, Best Reward: 1255.60, remain_bees: 46, step: 44
Episode 50, Avg Reward: 353.77, Best Reward: 1255.60, remain_bees: 46, step: 121
Episode 60, Avg Reward: 240.99, Best Reward: 1255.60, remain_bees: 46, step: 1200
Episode 70, Avg Reward: 361.72, Best Reward: 1255.60, remain_bees: 46, step: 69
Episode 80, Avg Reward: 178.79, Best Reward: 1255.60, remain_bees: 46, step: 1200
Episode 90, Avg Reward: 322.40, Best Reward: 1255.60, remain_bees: 46, step: 151
Episode 100, Avg Reward: 374.28, Best Reward: 1255.60, remain_bees: 45, step: 143
Episode 110, Avg Reward: 344.95, Best Reward: 1255.60, remain_bees: 46, step: 1200
Episode 120, Avg Reward: 324.57, Best Reward: 1255.60, remain_bees: 46, step: 46
Episode 130, Avg Reward: 406.62, Best Reward: 1255.60, remain_bees: 45, step: 149
Episode 140, Avg Reward: 262.72, Best Reward: 1255.60, remain_bees: 46, step: 305
Episode 150, Avg Reward: 325.52, Best Reward: 1255.60, remain_bees: 45, step: 94
Episode 160, Avg Reward: 331.66, Best Reward: 1255.60, remain_bees: 46, step: 1200
Episode 170, Avg Reward: 264.22, Best Reward: 1255.60, remain_bees: 46, step: 1200
Episode 180, Avg Reward: 245.82, Best Reward: 1255.60, remain_bees: 46, step: 1200
Episode 190, Avg Reward: 297.51, Best Reward: 1255.60, remain_bees: 46, step: 1200
Episode 200, Avg Reward: 240.55, Best Reward: 1255.60, remain_bees: 46, step: 1200
Episode 210, Avg Reward: 267.12, Best Reward: 1255.60, remain_bees: 46, step: 76
Episode 220, Avg Reward: 213.66, Best Reward: 1255.60, remain_bees: 48, step: 1200
Episode 230, Avg Reward: 237.59, Best Reward: 1255.60, remain_bees: 46, step: 102
Episode 240, Avg Reward: 178.89, Best Reward: 1255.60, remain_bees: 47, step: 1200
Episode 250, Avg Reward: 221.52, Best Reward: 1255.60, remain_bees: 48, step: 1200
Episode 260, Avg Reward: 151.96, Best Reward: 1255.60, remain_bees: 49, step: 250
Episode 270, Avg Reward: 223.57, Best Reward: 1255.60, remain_bees: 47, step: 169
Episode 280, Avg Reward: 366.66, Best Reward: 1255.60, remain_bees: 46, step: 176
Episode 290, Avg Reward: 377.53, Best Reward: 1255.60, remain_bees: 45, step: 1200
Episode 300, Avg Reward: 277.25, Best Reward: 1255.60, remain_bees: 46, step: 1200
Episode 310, Avg Reward: 241.60, Best Reward: 1255.60, remain_bees: 47, step: 118
Episode 320, Avg Reward: 310.18, Best Reward: 1255.60, remain_bees: 46, step: 121
Episode 330, Avg Reward: 362.73, Best Reward: 1255.60, remain_bees: 46, step: 99
