Episode 0, Avg Reward: 258.80, Best Reward: 258.80, remain_bees: 47, step: 225
Episode 10, Avg Reward: 236.04, Best Reward: 408.80, remain_bees: 45, step: 414
Episode 20, Avg Reward: 274.12, Best Reward: 408.80, remain_bees: 47, step: 209
Episode 30, Avg Reward: 234.20, Best Reward: 408.80, remain_bees: 50, step: 47
Episode 40, Avg Reward: 288.93, Best Reward: 610.30, remain_bees: 43, step: 377
Episode 50, Avg Reward: 317.75, Best Reward: 610.30, remain_bees: 47, step: 77
Episode 60, Avg Reward: 248.08, Best Reward: 610.30, remain_bees: 47, step: 239
Episode 70, Avg Reward: 207.82, Best Reward: 610.30, remain_bees: 46, step: 161
Episode 80, Avg Reward: 226.33, Best Reward: 610.30, remain_bees: 46, step: 89
Episode 90, Avg Reward: 185.99, Best Reward: 610.30, remain_bees: 48, step: 126
Episode 100, Avg Reward: 252.74, Best Reward: 610.30, remain_bees: 47, step: 128
Episode 110, Avg Reward: 216.26, Best Reward: 610.30, remain_bees: 47, step: 47
Episode 120, Avg Reward: 216.09, Best Reward: 610.30, remain_bees: 48, step: 77
Episode 130, Avg Reward: 341.67, Best Reward: 610.30, remain_bees: 46, step: 95
Episode 140, Avg Reward: 226.26, Best Reward: 610.30, remain_bees: 48, step: 92
Episode 150, Avg Reward: 144.94, Best Reward: 610.30, remain_bees: 47, step: 211
Episode 160, Avg Reward: 203.34, Best Reward: 610.30, remain_bees: 47, step: 129
Episode 170, Avg Reward: 250.61, Best Reward: 610.30, remain_bees: 48, step: 90
Episode 180, Avg Reward: 222.07, Best Reward: 610.30, remain_bees: 46, step: 380
Episode 190, Avg Reward: 267.18, Best Reward: 610.30, remain_bees: 47, step: 202
Episode 200, Avg Reward: 183.21, Best Reward: 610.30, remain_bees: 47, step: 56
Episode 210, Avg Reward: 190.02, Best Reward: 610.30, remain_bees: 50, step: 37
Episode 220, Avg Reward: 234.33, Best Reward: 610.30, remain_bees: 48, step: 68
Episode 230, Avg Reward: 251.08, Best Reward: 610.30, remain_bees: 47, step: 74
Episode 240, Avg Reward: 209.38, Best Reward: 610.30, remain_bees: 47, step: 60
Episode 250, Avg Reward: 261.15, Best Reward: 610.30, remain_bees: 48, step: 70
Episode 260, Avg Reward: 261.37, Best Reward: 610.30, remain_bees: 46, step: 113
Episode 270, Avg Reward: 234.06, Best Reward: 610.30, remain_bees: 46, step: 103
Episode 280, Avg Reward: 274.27, Best Reward: 610.30, remain_bees: 47, step: 131
Episode 290, Avg Reward: 284.01, Best Reward: 610.30, remain_bees: 46, step: 94
Episode 300, Avg Reward: 315.42, Best Reward: 610.30, remain_bees: 46, step: 201
Episode 310, Avg Reward: 276.17, Best Reward: 610.30, remain_bees: 44, step: 170
Episode 320, Avg Reward: 170.22, Best Reward: 610.30, remain_bees: 50, step: 80
Episode 330, Avg Reward: 282.17, Best Reward: 610.30, remain_bees: 47, step: 154
Episode 340, Avg Reward: 319.88, Best Reward: 610.30, remain_bees: 47, step: 173
Episode 350, Avg Reward: 242.76, Best Reward: 610.30, remain_bees: 47, step: 100
Episode 360, Avg Reward: 272.52, Best Reward: 610.30, remain_bees: 46, step: 281
Episode 370, Avg Reward: 223.04, Best Reward: 610.30, remain_bees: 49, step: 52
Episode 380, Avg Reward: 252.99, Best Reward: 610.30, remain_bees: 46, step: 215
Episode 390, Avg Reward: 241.94, Best Reward: 610.30, remain_bees: 46, step: 163
Episode 400, Avg Reward: 274.64, Best Reward: 610.30, remain_bees: 46, step: 146
Episode 410, Avg Reward: 320.24, Best Reward: 610.30, remain_bees: 46, step: 208
Episode 420, Avg Reward: 228.96, Best Reward: 610.30, remain_bees: 48, step: 197
Episode 430, Avg Reward: 270.23, Best Reward: 610.30, remain_bees: 47, step: 198
Episode 440, Avg Reward: 297.49, Best Reward: 610.30, remain_bees: 46, step: 228
Episode 450, Avg Reward: 266.76, Best Reward: 610.30, remain_bees: 47, step: 120
Episode 460, Avg Reward: 319.01, Best Reward: 610.30, remain_bees: 47, step: 122
Episode 470, Avg Reward: 254.51, Best Reward: 610.30, remain_bees: 46, step: 119
Episode 480, Avg Reward: 276.58, Best Reward: 610.30, remain_bees: 46, step: 97
Episode 490, Avg Reward: 340.56, Best Reward: 610.30, remain_bees: 45, step: 103
Episode 500, Avg Reward: 220.99, Best Reward: 610.30, remain_bees: 48, step: 62
Episode 510, Avg Reward: 220.01, Best Reward: 610.30, remain_bees: 46, step: 93
Episode 520, Avg Reward: 243.71, Best Reward: 610.30, remain_bees: 48, step: 237
Episode 530, Avg Reward: 229.18, Best Reward: 610.30, remain_bees: 47, step: 132
Episode 540, Avg Reward: 247.78, Best Reward: 610.30, remain_bees: 46, step: 129
Episode 550, Avg Reward: 362.48, Best Reward: 610.30, remain_bees: 46, step: 207
Episode 560, Avg Reward: 220.55, Best Reward: 610.30, remain_bees: 45, step: 166
Episode 570, Avg Reward: 245.01, Best Reward: 610.30, remain_bees: 46, step: 157
Episode 580, Avg Reward: 203.29, Best Reward: 610.30, remain_bees: 47, step: 86
Episode 590, Avg Reward: 281.62, Best Reward: 610.30, remain_bees: 46, step: 109
Episode 600, Avg Reward: 264.50, Best Reward: 610.30, remain_bees: 49, step: 90
Episode 610, Avg Reward: 285.30, Best Reward: 610.30, remain_bees: 47, step: 133
Episode 620, Avg Reward: 238.77, Best Reward: 610.30, remain_bees: 48, step: 224
Episode 630, Avg Reward: 202.48, Best Reward: 610.30, remain_bees: 48, step: 81
Episode 640, Avg Reward: 251.05, Best Reward: 610.30, remain_bees: 46, step: 186
Episode 650, Avg Reward: 302.56, Best Reward: 610.30, remain_bees: 46, step: 100
Episode 660, Avg Reward: 306.47, Best Reward: 610.30, remain_bees: 46, step: 85
Episode 670, Avg Reward: 192.61, Best Reward: 610.30, remain_bees: 48, step: 78
Episode 680, Avg Reward: 293.61, Best Reward: 610.30, remain_bees: 46, step: 151
Episode 690, Avg Reward: 215.97, Best Reward: 610.30, remain_bees: 47, step: 99
Episode 700, Avg Reward: 254.49, Best Reward: 610.30, remain_bees: 46, step: 338
Episode 710, Avg Reward: 209.71, Best Reward: 610.30, remain_bees: 48, step: 71
Episode 720, Avg Reward: 263.73, Best Reward: 610.30, remain_bees: 48, step: 144
Episode 730, Avg Reward: 352.67, Best Reward: 727.70, remain_bees: 42, step: 241
Episode 740, Avg Reward: 304.15, Best Reward: 727.70, remain_bees: 47, step: 93
Episode 750, Avg Reward: 291.65, Best Reward: 727.70, remain_bees: 46, step: 179
Episode 760, Avg Reward: 295.46, Best Reward: 727.70, remain_bees: 46, step: 100
Episode 770, Avg Reward: 282.33, Best Reward: 727.70, remain_bees: 45, step: 144
Episode 780, Avg Reward: 301.71, Best Reward: 727.70, remain_bees: 45, step: 250
Episode 790, Avg Reward: 307.43, Best Reward: 727.70, remain_bees: 46, step: 141
Episode 800, Avg Reward: 245.14, Best Reward: 727.70, remain_bees: 45, step: 163
Episode 810, Avg Reward: 297.51, Best Reward: 727.70, remain_bees: 47, step: 111
Episode 820, Avg Reward: 198.84, Best Reward: 727.70, remain_bees: 46, step: 145
Episode 830, Avg Reward: 288.14, Best Reward: 727.70, remain_bees: 46, step: 109
Episode 840, Avg Reward: 276.87, Best Reward: 727.70, remain_bees: 48, step: 121
Episode 850, Avg Reward: 307.89, Best Reward: 727.70, remain_bees: 47, step: 104
