Episode 0, Avg Reward: 367.20, Best Reward: 367.20, remain_bees: 46, step: 260
Episode 10, Avg Reward: 245.72, Best Reward: 408.30, remain_bees: 47, step: 195
Episode 20, Avg Reward: 255.12, Best Reward: 408.30, remain_bees: 46, step: 153
Episode 30, Avg Reward: 200.54, Best Reward: 408.30, remain_bees: 47, step: 100
Episode 40, Avg Reward: 210.19, Best Reward: 408.30, remain_bees: 49, step: 94
Episode 50, Avg Reward: 256.75, Best Reward: 408.30, remain_bees: 47, step: 73
Episode 60, Avg Reward: 229.58, Best Reward: 438.60, remain_bees: 47, step: 117
Episode 70, Avg Reward: 217.86, Best Reward: 438.60, remain_bees: 48, step: 55
Episode 80, Avg Reward: 199.04, Best Reward: 438.60, remain_bees: 47, step: 251
Episode 90, Avg Reward: 243.47, Best Reward: 438.60, remain_bees: 48, step: 63
Episode 100, Avg Reward: 323.36, Best Reward: 655.90, remain_bees: 47, step: 114
Episode 110, Avg Reward: 278.97, Best Reward: 655.90, remain_bees: 45, step: 247
Episode 120, Avg Reward: 289.63, Best Reward: 655.90, remain_bees: 49, step: 73
Episode 130, Avg Reward: 264.85, Best Reward: 655.90, remain_bees: 48, step: 35
Episode 140, Avg Reward: 284.58, Best Reward: 655.90, remain_bees: 47, step: 193
Episode 150, Avg Reward: 236.18, Best Reward: 655.90, remain_bees: 48, step: 61
Episode 160, Avg Reward: 234.68, Best Reward: 655.90, remain_bees: 47, step: 73
Episode 170, Avg Reward: 189.48, Best Reward: 655.90, remain_bees: 48, step: 68
Episode 180, Avg Reward: 207.36, Best Reward: 655.90, remain_bees: 46, step: 106
Episode 190, Avg Reward: 249.02, Best Reward: 655.90, remain_bees: 48, step: 92
Episode 200, Avg Reward: 332.15, Best Reward: 655.90, remain_bees: 46, step: 85
Episode 210, Avg Reward: 258.83, Best Reward: 655.90, remain_bees: 46, step: 59
Episode 220, Avg Reward: 266.98, Best Reward: 655.90, remain_bees: 47, step: 102
Episode 230, Avg Reward: 340.85, Best Reward: 655.90, remain_bees: 46, step: 274
Episode 240, Avg Reward: 220.42, Best Reward: 655.90, remain_bees: 46, step: 439
Episode 250, Avg Reward: 238.86, Best Reward: 655.90, remain_bees: 44, step: 111
Episode 260, Avg Reward: 320.56, Best Reward: 655.90, remain_bees: 46, step: 165
Episode 270, Avg Reward: 301.99, Best Reward: 655.90, remain_bees: 47, step: 185
Episode 280, Avg Reward: 292.48, Best Reward: 655.90, remain_bees: 47, step: 55
Episode 290, Avg Reward: 270.82, Best Reward: 655.90, remain_bees: 47, step: 95
