Episode 0, Avg Reward: 265.20, Best Reward: 265.20, remain_bees: 47, step: 218
Episode 10, Avg Reward: 165.32, Best Reward: 375.50, remain_bees: 50, step: 1200
Episode 20, Avg Reward: 221.44, Best Reward: 446.20, remain_bees: 46, step: 1200
Episode 30, Avg Reward: 295.54, Best Reward: 446.20, remain_bees: 44, step: 1200
Episode 40, Avg Reward: 345.06, Best Reward: 557.60, remain_bees: 46, step: 142
Episode 50, Avg Reward: 341.58, Best Reward: 563.50, remain_bees: 44, step: 1200
Episode 60, Avg Reward: 282.21, Best Reward: 671.00, remain_bees: 43, step: 92
Episode 70, Avg Reward: 289.86, Best Reward: 671.00, remain_bees: 48, step: 1200
Episode 80, Avg Reward: 301.96, Best Reward: 671.00, remain_bees: 47, step: 1200
Episode 90, Avg Reward: 241.70, Best Reward: 750.70, remain_bees: 44, step: 306
Episode 100, Avg Reward: 148.91, Best Reward: 750.70, remain_bees: 45, step: 1200
Episode 110, Avg Reward: 269.72, Best Reward: 750.70, remain_bees: 46, step: 159
Episode 120, Avg Reward: 280.78, Best Reward: 750.70, remain_bees: 46, step: 1200
Episode 130, Avg Reward: 373.98, Best Reward: 819.10, remain_bees: 43, step: 161
Episode 140, Avg Reward: 241.76, Best Reward: 819.10, remain_bees: 43, step: 226
Episode 150, Avg Reward: 326.81, Best Reward: 841.40, remain_bees: 47, step: 1200
Episode 160, Avg Reward: 368.55, Best Reward: 841.40, remain_bees: 45, step: 1200
Episode 170, Avg Reward: 352.61, Best Reward: 841.40, remain_bees: 45, step: 1200
Episode 180, Avg Reward: 405.06, Best Reward: 889.80, remain_bees: 46, step: 148
Episode 190, Avg Reward: 297.76, Best Reward: 889.80, remain_bees: 46, step: 149
Episode 200, Avg Reward: 255.29, Best Reward: 889.80, remain_bees: 42, step: 1200
Episode 210, Avg Reward: 371.89, Best Reward: 889.80, remain_bees: 44, step: 117
Episode 220, Avg Reward: 309.88, Best Reward: 889.80, remain_bees: 46, step: 1200
Episode 230, Avg Reward: 381.53, Best Reward: 889.80, remain_bees: 47, step: 47
Episode 240, Avg Reward: 278.47, Best Reward: 889.80, remain_bees: 45, step: 150
Episode 250, Avg Reward: 288.13, Best Reward: 889.80, remain_bees: 48, step: 65
Episode 260, Avg Reward: 299.33, Best Reward: 889.80, remain_bees: 45, step: 1200
Episode 270, Avg Reward: 411.04, Best Reward: 889.80, remain_bees: 45, step: 73
Episode 280, Avg Reward: 312.61, Best Reward: 889.80, remain_bees: 46, step: 242
Episode 290, Avg Reward: 339.29, Best Reward: 889.80, remain_bees: 46, step: 1200
Episode 300, Avg Reward: 329.49, Best Reward: 889.80, remain_bees: 46, step: 1200
Episode 310, Avg Reward: 299.31, Best Reward: 889.80, remain_bees: 46, step: 88
Episode 320, Avg Reward: 377.75, Best Reward: 889.80, remain_bees: 44, step: 139
Episode 330, Avg Reward: 300.06, Best Reward: 889.80, remain_bees: 46, step: 169
Episode 340, Avg Reward: 339.43, Best Reward: 889.80, remain_bees: 46, step: 1200
Episode 350, Avg Reward: 376.37, Best Reward: 889.80, remain_bees: 46, step: 1200
Episode 360, Avg Reward: 359.14, Best Reward: 889.80, remain_bees: 46, step: 1200
Episode 370, Avg Reward: 401.01, Best Reward: 964.40, remain_bees: 46, step: 1200
Episode 380, Avg Reward: 247.04, Best Reward: 964.40, remain_bees: 43, step: 1200
Episode 390, Avg Reward: 271.82, Best Reward: 964.40, remain_bees: 46, step: 1200
Episode 400, Avg Reward: 376.02, Best Reward: 964.40, remain_bees: 46, step: 1200
Episode 410, Avg Reward: 223.66, Best Reward: 964.40, remain_bees: 47, step: 1200
Episode 420, Avg Reward: 436.58, Best Reward: 1132.20, remain_bees: 46, step: 110
Episode 430, Avg Reward: 235.93, Best Reward: 1132.20, remain_bees: 46, step: 37
Episode 440, Avg Reward: 344.35, Best Reward: 1132.20, remain_bees: 39, step: 1200
Episode 450, Avg Reward: 292.50, Best Reward: 1132.20, remain_bees: 46, step: 1200
Episode 460, Avg Reward: 441.56, Best Reward: 1132.20, remain_bees: 45, step: 133
Episode 470, Avg Reward: 348.51, Best Reward: 1132.20, remain_bees: 46, step: 1200
Episode 480, Avg Reward: 432.04, Best Reward: 1132.20, remain_bees: 47, step: 94
Episode 490, Avg Reward: 439.74, Best Reward: 1132.20, remain_bees: 44, step: 1200
Episode 500, Avg Reward: 349.15, Best Reward: 1132.20, remain_bees: 43, step: 1200
Episode 510, Avg Reward: 279.74, Best Reward: 1132.20, remain_bees: 47, step: 1200
Episode 520, Avg Reward: 386.49, Best Reward: 1132.20, remain_bees: 43, step: 153
Episode 530, Avg Reward: 397.75, Best Reward: 1132.20, remain_bees: 46, step: 118
Episode 540, Avg Reward: 428.08, Best Reward: 1132.20, remain_bees: 44, step: 155
Episode 550, Avg Reward: 331.94, Best Reward: 1132.20, remain_bees: 47, step: 47
Episode 560, Avg Reward: 285.84, Best Reward: 1132.20, remain_bees: 47, step: 82
Episode 570, Avg Reward: 379.12, Best Reward: 1132.20, remain_bees: 44, step: 1200
Episode 580, Avg Reward: 251.98, Best Reward: 1132.20, remain_bees: 46, step: 1200
Episode 590, Avg Reward: 296.44, Best Reward: 1132.20, remain_bees: 46, step: 1200
Episode 600, Avg Reward: 266.77, Best Reward: 1132.20, remain_bees: 45, step: 88
Episode 610, Avg Reward: 354.75, Best Reward: 1132.20, remain_bees: 46, step: 1200
Episode 620, Avg Reward: 378.63, Best Reward: 1132.20, remain_bees: 46, step: 1200
Episode 630, Avg Reward: 497.58, Best Reward: 1232.60, remain_bees: 45, step: 39
Episode 640, Avg Reward: 295.25, Best Reward: 1232.60, remain_bees: 46, step: 112
Episode 650, Avg Reward: 350.60, Best Reward: 1232.60, remain_bees: 48, step: 23
Episode 660, Avg Reward: 282.68, Best Reward: 1232.60, remain_bees: 46, step: 1200
Episode 670, Avg Reward: 307.80, Best Reward: 1232.60, remain_bees: 45, step: 419
Episode 680, Avg Reward: 353.46, Best Reward: 1232.60, remain_bees: 46, step: 1200
Episode 690, Avg Reward: 293.12, Best Reward: 1232.60, remain_bees: 46, step: 1200
Episode 700, Avg Reward: 197.40, Best Reward: 1232.60, remain_bees: 47, step: 1200
Episode 710, Avg Reward: 301.97, Best Reward: 1232.60, remain_bees: 44, step: 1200
Episode 720, Avg Reward: 271.02, Best Reward: 1232.60, remain_bees: 46, step: 1200
Episode 730, Avg Reward: 592.74, Best Reward: 1696.50, remain_bees: 31, step: 1200
Episode 740, Avg Reward: 389.97, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 750, Avg Reward: 328.35, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 760, Avg Reward: 285.01, Best Reward: 1696.50, remain_bees: 47, step: 1200
Episode 770, Avg Reward: 312.71, Best Reward: 1696.50, remain_bees: 44, step: 1200
Episode 780, Avg Reward: 368.26, Best Reward: 1696.50, remain_bees: 48, step: 64
Episode 790, Avg Reward: 270.59, Best Reward: 1696.50, remain_bees: 47, step: 1200
Episode 800, Avg Reward: 309.26, Best Reward: 1696.50, remain_bees: 46, step: 119
Episode 810, Avg Reward: 457.65, Best Reward: 1696.50, remain_bees: 48, step: 53
Episode 820, Avg Reward: 324.03, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 830, Avg Reward: 266.20, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 840, Avg Reward: 301.75, Best Reward: 1696.50, remain_bees: 44, step: 186
Episode 850, Avg Reward: 213.85, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 860, Avg Reward: 317.48, Best Reward: 1696.50, remain_bees: 47, step: 1200
Episode 870, Avg Reward: 325.08, Best Reward: 1696.50, remain_bees: 45, step: 146
Episode 880, Avg Reward: 286.96, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 890, Avg Reward: 380.12, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 900, Avg Reward: 319.10, Best Reward: 1696.50, remain_bees: 47, step: 60
Episode 910, Avg Reward: 318.94, Best Reward: 1696.50, remain_bees: 46, step: 75
Episode 920, Avg Reward: 323.75, Best Reward: 1696.50, remain_bees: 46, step: 153
Episode 930, Avg Reward: 399.79, Best Reward: 1696.50, remain_bees: 43, step: 1200
Episode 940, Avg Reward: 346.02, Best Reward: 1696.50, remain_bees: 42, step: 1200
Episode 950, Avg Reward: 290.99, Best Reward: 1696.50, remain_bees: 48, step: 23
