Episode 0, Avg Reward: 389.30, Best Reward: 389.30, remain_bees: 44, step: 1200
Episode 10, Avg Reward: 285.36, Best Reward: 794.00, remain_bees: 40, step: 1200
Episode 20, Avg Reward: 234.31, Best Reward: 794.00, remain_bees: 45, step: 1200
Episode 30, Avg Reward: 279.19, Best Reward: 794.00, remain_bees: 45, step: 1200
Episode 40, Avg Reward: 381.70, Best Reward: 982.70, remain_bees: 46, step: 1200
Episode 50, Avg Reward: 285.25, Best Reward: 982.70, remain_bees: 47, step: 1200
Episode 60, Avg Reward: 202.93, Best Reward: 982.70, remain_bees: 47, step: 1200
Episode 70, Avg Reward: 220.97, Best Reward: 982.70, remain_bees: 45, step: 1200
Episode 80, Avg Reward: 224.70, Best Reward: 982.70, remain_bees: 46, step: 1200
Episode 90, Avg Reward: 302.28, Best Reward: 982.70, remain_bees: 49, step: 1200
Episode 100, Avg Reward: 332.07, Best Reward: 982.70, remain_bees: 48, step: 1200
Episode 110, Avg Reward: 241.78, Best Reward: 1171.90, remain_bees: 46, step: 1200
Episode 120, Avg Reward: 263.50, Best Reward: 1171.90, remain_bees: 46, step: 1200
Episode 130, Avg Reward: 277.71, Best Reward: 1171.90, remain_bees: 44, step: 1200
Episode 140, Avg Reward: 205.53, Best Reward: 1171.90, remain_bees: 45, step: 1200
Episode 150, Avg Reward: 233.90, Best Reward: 1171.90, remain_bees: 42, step: 1200
Episode 160, Avg Reward: 276.59, Best Reward: 1171.90, remain_bees: 46, step: 1200
Episode 170, Avg Reward: 291.94, Best Reward: 1171.90, remain_bees: 46, step: 1200
Episode 180, Avg Reward: 262.79, Best Reward: 1171.90, remain_bees: 46, step: 1200
Episode 190, Avg Reward: 443.95, Best Reward: 1180.90, remain_bees: 46, step: 1200
Episode 200, Avg Reward: 299.01, Best Reward: 1180.90, remain_bees: 46, step: 1200
Episode 210, Avg Reward: 161.67, Best Reward: 1180.90, remain_bees: 45, step: 1200
Episode 220, Avg Reward: 128.17, Best Reward: 1180.90, remain_bees: 45, step: 1200
Episode 230, Avg Reward: 358.34, Best Reward: 1180.90, remain_bees: 47, step: 1200
Episode 240, Avg Reward: 346.75, Best Reward: 1299.60, remain_bees: 44, step: 1200
Episode 250, Avg Reward: 365.96, Best Reward: 1299.60, remain_bees: 44, step: 106
Episode 260, Avg Reward: 261.75, Best Reward: 1299.60, remain_bees: 46, step: 1200
Episode 270, Avg Reward: 389.03, Best Reward: 1299.60, remain_bees: 45, step: 1200
Episode 280, Avg Reward: 461.31, Best Reward: 1299.60, remain_bees: 36, step: 1200
Episode 290, Avg Reward: 357.20, Best Reward: 1299.60, remain_bees: 46, step: 1200
Episode 300, Avg Reward: 279.77, Best Reward: 1299.60, remain_bees: 47, step: 1200
Episode 310, Avg Reward: 284.45, Best Reward: 1299.60, remain_bees: 48, step: 1200
Episode 320, Avg Reward: 415.24, Best Reward: 1299.60, remain_bees: 41, step: 1200
