Episode 1: Total Reward: 218.4929, Loss: None, Epsilon: 0.9583, Steps: 216, v_min: -76, remain_bees: 47
Episode 2: Total Reward: 74.2835, Loss: None, Epsilon: 0.9049, Steps: 290, v_min: -110, remain_bees: 47
Episode 3: Total Reward: -2.1629, Loss: None, Epsilon: 0.8454, Steps: 344, v_min: -106, remain_bees: 48
Episode 4: Total Reward: 173.9658, Loss: None, Epsilon: 0.8178, Steps: 168, v_min: -41, remain_bees: 48
Episode 5: Total Reward: 391.0736, Loss: None, Epsilon: 0.8004, Steps: 109, v_min: -57, remain_bees: 45
Episode 6: Total Reward: 95.8320, Loss: 11.59134578704834, Epsilon: 0.7471, Steps: 349, v_min: -107, remain_bees: 46
Episode 7: Total Reward: 409.3236, Loss: 7.510517120361328, Epsilon: 0.6773, Steps: 497, v_min: -124, remain_bees: 46
Episode 8: Total Reward: 395.3769, Loss: 7.967535495758057, Epsilon: 0.6546, Steps: 173, v_min: -93, remain_bees: 46
Episode 9: Total Reward: -126.0713, Loss: 7.400720119476318, Epsilon: 0.6284, Steps: 208, v_min: -139, remain_bees: 49
Episode 10: Total Reward: 333.2104, Loss: 6.959805488586426, Epsilon: 0.5941, Steps: 285, v_min: -100, remain_bees: 46
Episode 11: Total Reward: 274.2952, Loss: 5.617405891418457, Epsilon: 0.5712, Steps: 200, v_min: -59, remain_bees: 47
Episode 12: Total Reward: 355.4790, Loss: 2.853431463241577, Epsilon: 0.5236, Steps: 443, v_min: -130, remain_bees: 46
Episode 13: Total Reward: -447.9271, Loss: 1.1245653629302979, Epsilon: 0.4183, Steps: 1148, v_min: -235, remain_bees: 46
Episode 14: Total Reward: 49.0594, Loss: 1.0558418035507202, Epsilon: 0.3787, Steps: 509, v_min: -125, remain_bees: 46
Episode 15: Total Reward: -130.1209, Loss: 0.832253098487854, Epsilon: 0.3497, Steps: 410, v_min: -187, remain_bees: 48
Episode 16: Total Reward: -198.9870, Loss: 1.0334595441818237, Epsilon: 0.2909, Steps: 951, v_min: -269, remain_bees: 47
Episode 17: Total Reward: -93.4994, Loss: 0.40779852867126465, Epsilon: 0.2761, Steps: 270, v_min: -209, remain_bees: 48
Episode 18: Total Reward: 325.4635, Loss: 0.6396588683128357, Epsilon: 0.2564, Steps: 384, v_min: -132, remain_bees: 46
Episode 19: Total Reward: -20.6202, Loss: 0.5817508101463318, Epsilon: 0.2248, Steps: 686, v_min: -176, remain_bees: 47
Episode 20: Total Reward: -220.5224, Loss: 0.5715618133544922, Epsilon: 0.2023, Steps: 553, v_min: -374, remain_bees: 47
Episode 21: Total Reward: -664.1221, Loss: 0.27121713757514954, Epsilon: 0.1754, Steps: 755, v_min: -565, remain_bees: 46
Episode 22: Total Reward: 280.1377, Loss: 0.42759647965431213, Epsilon: 0.1684, Steps: 217, v_min: -141, remain_bees: 47
Episode 23: Total Reward: 136.6816, Loss: 0.27071449160575867, Epsilon: 0.1551, Steps: 439, v_min: -145, remain_bees: 48
Episode 24: Total Reward: -30.9909, Loss: 0.03742135688662529, Epsilon: 0.1436, Steps: 411, v_min: -129, remain_bees: 47
Episode 25: Total Reward: -181.5355, Loss: 0.25115466117858887, Epsilon: 0.1259, Steps: 709, v_min: -212, remain_bees: 47
Episode 26: Total Reward: -878.3747, Loss: 0.2709803283214569, Epsilon: 0.1012, Steps: 1201, v_min: -783, remain_bees: 47
Episode 27: Total Reward: -109.3907, Loss: 1.3856961727142334, Epsilon: 0.0821, Steps: 1177, v_min: -480, remain_bees: 46
Episode 28: Total Reward: -1180.5243, Loss: 0.9868831634521484, Epsilon: 0.0667, Steps: 1201, v_min: -599, remain_bees: 48
Episode 29: Total Reward: -1789.6024, Loss: 1.2141408920288086, Epsilon: 0.0546, Steps: 1201, v_min: -904, remain_bees: 46
Episode 30: Total Reward: -2611.2926, Loss: 1.7254650592803955, Epsilon: 0.0451, Steps: 1201, v_min: -901, remain_bees: 49
Episode 31: Total Reward: -322.0779, Loss: 1.952776312828064, Epsilon: 0.0376, Steps: 1201, v_min: -382, remain_bees: 47
Episode 32: Total Reward: -791.7997, Loss: 1.53630530834198, Epsilon: 0.0317, Steps: 1201, v_min: -555, remain_bees: 46
Episode 33: Total Reward: 406.4448, Loss: 2.775669813156128, Epsilon: 0.0296, Steps: 500, v_min: -313, remain_bees: 46
Episode 34: Total Reward: -981.1406, Loss: 1.830923080444336, Epsilon: 0.0254, Steps: 1201, v_min: -549, remain_bees: 48
Episode 35: Total Reward: 491.6431, Loss: 2.289564847946167, Epsilon: 0.0244, Steps: 334, v_min: -369, remain_bees: 49
Episode 36: Total Reward: -1131.2498, Loss: 1.9139877557754517, Epsilon: 0.0214, Steps: 1201, v_min: -1157, remain_bees: 49
Episode 37: Total Reward: -3231.9825, Loss: 2.694349765777588, Epsilon: 0.0189, Steps: 1201, v_min: -979, remain_bees: 49
Episode 38: Total Reward: -2706.8035, Loss: 2.4542152881622314, Epsilon: 0.0170, Steps: 1201, v_min: -1197, remain_bees: 48
Episode 39: Total Reward: -1658.7523, Loss: 1.7695114612579346, Epsilon: 0.0155, Steps: 1201, v_min: -634, remain_bees: 48
Episode 40: Total Reward: -2454.4917, Loss: 1.819326639175415, Epsilon: 0.0143, Steps: 1201, v_min: -836, remain_bees: 49
Episode 41: Total Reward: -1258.1095, Loss: 2.2974534034729004, Epsilon: 0.0134, Steps: 1201, v_min: -703, remain_bees: 49
Episode 42: Total Reward: -1619.4300, Loss: 2.975975513458252, Epsilon: 0.0127, Steps: 1201, v_min: -725, remain_bees: 50
Episode 43: Total Reward: -2447.6672, Loss: 2.259780168533325, Epsilon: 0.0121, Steps: 1201, v_min: -717, remain_bees: 47
Episode 44: Total Reward: -1293.9417, Loss: 2.582385540008545, Epsilon: 0.0117, Steps: 1201, v_min: -806, remain_bees: 47
Episode 45: Total Reward: -3379.5063, Loss: 2.215658664703369, Epsilon: 0.0113, Steps: 1201, v_min: -1012, remain_bees: 48
Episode 46: Total Reward: -3717.3005, Loss: 2.844212770462036, Epsilon: 0.0110, Steps: 1201, v_min: -1366, remain_bees: 50
Episode 47: Total Reward: -3768.2288, Loss: 2.55242657661438, Epsilon: 0.0108, Steps: 1201, v_min: -843, remain_bees: 48
Episode 48: Total Reward: -10550.9565, Loss: 2.8331058025360107, Epsilon: 0.0106, Steps: 1201, v_min: -2392, remain_bees: 49
Episode 49: Total Reward: -3836.9107, Loss: 2.625910520553589, Epsilon: 0.0105, Steps: 1201, v_min: -1421, remain_bees: 49
Episode 50: Total Reward: -10118.4443, Loss: 2.795107841491699, Epsilon: 0.0104, Steps: 1201, v_min: -2033, remain_bees: 49
Episode 51: Total Reward: -4051.1185, Loss: 3.7351417541503906, Epsilon: 0.0103, Steps: 1201, v_min: -1021, remain_bees: 49
Episode 52: Total Reward: -4056.4397, Loss: 3.040034532546997, Epsilon: 0.0102, Steps: 1201, v_min: -1139, remain_bees: 49
Episode 53: Total Reward: -1856.6586, Loss: 2.976104974746704, Epsilon: 0.0102, Steps: 1201, v_min: -812, remain_bees: 49
Episode 54: Total Reward: -3798.6420, Loss: 4.246993541717529, Epsilon: 0.0102, Steps: 1201, v_min: -1065, remain_bees: 46
Episode 55: Total Reward: -7780.0967, Loss: 2.4828948974609375, Epsilon: 0.0101, Steps: 1201, v_min: -1732, remain_bees: 50
Episode 56: Total Reward: -8135.7948, Loss: 3.0532119274139404, Epsilon: 0.0101, Steps: 1201, v_min: -1720, remain_bees: 49
Episode 57: Total Reward: -4719.0242, Loss: 3.0735623836517334, Epsilon: 0.0101, Steps: 1201, v_min: -1425, remain_bees: 48
Training interrupted. Saving model...
