Episode 1: Total Reward: -162.0774, Loss: None, Epsilon: 0.9669, Steps: 171, v_min: -34, remain_bees: 50
Episode 2: Total Reward: 168.4850, Loss: None, Epsilon: 0.8930, Steps: 402, v_min: -172, remain_bees: 46
Episode 3: Total Reward: -373.3656, Loss: None, Epsilon: 0.8681, Steps: 143, v_min: -103, remain_bees: 50
Episode 4: Total Reward: 58.3013, Loss: None, Epsilon: 0.8503, Steps: 105, v_min: -49, remain_bees: 48
Episode 5: Total Reward: 77.2096, Loss: None, Epsilon: 0.7863, Steps: 396, v_min: -124, remain_bees: 46
Episode 6: Total Reward: 64.6782, Loss: 8.682208061218262, Epsilon: 0.7190, Steps: 453, v_min: -180, remain_bees: 47
Episode 7: Total Reward: 296.1642, Loss: 8.676556587219238, Epsilon: 0.6859, Steps: 239, v_min: -87, remain_bees: 46
Episode 8: Total Reward: 65.0455, Loss: 8.229410171508789, Epsilon: 0.6779, Steps: 60, v_min: -40, remain_bees: 48
Episode 9: Total Reward: 371.2884, Loss: 7.314723491668701, Epsilon: 0.6396, Steps: 295, v_min: -104, remain_bees: 46
Episode 10: Total Reward: 139.2795, Loss: 7.135657787322998, Epsilon: 0.6169, Steps: 184, v_min: -105, remain_bees: 47
Episode 11: Total Reward: 54.2833, Loss: 7.068312168121338, Epsilon: 0.6021, Steps: 123, v_min: -56, remain_bees: 48
Episode 12: Total Reward: 114.9460, Loss: 5.595824241638184, Epsilon: 0.5265, Steps: 683, v_min: -232, remain_bees: 46
Episode 13: Total Reward: 203.1847, Loss: 4.405204772949219, Epsilon: 0.4806, Steps: 465, v_min: -164, remain_bees: 46
Episode 14: Total Reward: 265.8523, Loss: 2.932966947555542, Epsilon: 0.4114, Steps: 796, v_min: -203, remain_bees: 45
Episode 15: Total Reward: -167.2502, Loss: 1.9997261762619019, Epsilon: 0.3831, Steps: 365, v_min: -361, remain_bees: 47
Episode 16: Total Reward: -287.5300, Loss: 0.9808158874511719, Epsilon: 0.3395, Steps: 622, v_min: -370, remain_bees: 48
Episode 17: Total Reward: 308.3382, Loss: 0.9201458096504211, Epsilon: 0.3099, Steps: 471, v_min: -215, remain_bees: 45
Episode 18: Total Reward: -111.6065, Loss: 0.9831619262695312, Epsilon: 0.2931, Steps: 287, v_min: -230, remain_bees: 48
Episode 19: Total Reward: -55.4549, Loss: 0.9204702377319336, Epsilon: 0.2722, Steps: 384, v_min: -134, remain_bees: 47
Episode 20: Total Reward: 290.4214, Loss: 0.7684038281440735, Epsilon: 0.2537, Steps: 365, v_min: -244, remain_bees: 47
Episode 21: Total Reward: 246.8760, Loss: 0.7981801629066467, Epsilon: 0.2344, Steps: 413, v_min: -201, remain_bees: 46
Episode 22: Total Reward: 462.6386, Loss: 0.5380561947822571, Epsilon: 0.2165, Steps: 415, v_min: -242, remain_bees: 46
Episode 23: Total Reward: -204.4297, Loss: 0.4522528648376465, Epsilon: 0.1973, Steps: 489, v_min: -463, remain_bees: 48
Episode 24: Total Reward: -262.9139, Loss: 0.3471870422363281, Epsilon: 0.1744, Steps: 652, v_min: -372, remain_bees: 46
Episode 25: Total Reward: 22.8588, Loss: 0.3512952923774719, Epsilon: 0.1637, Steps: 336, v_min: -319, remain_bees: 46
Episode 26: Total Reward: -343.7442, Loss: 0.4765414297580719, Epsilon: 0.1434, Steps: 708, v_min: -583, remain_bees: 46
Episode 27: Total Reward: 566.9710, Loss: 0.3778124153614044, Epsilon: 0.1304, Steps: 515, v_min: -500, remain_bees: 47
Episode 28: Total Reward: 158.6133, Loss: 0.5289145708084106, Epsilon: 0.1264, Steps: 168, v_min: -206, remain_bees: 46
Training interrupted. Saving model...
