2024-11-22 11:25:34,343 INFO    MainThread:1487451 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_setup.py:_flush():79] Configure stats pid to 1487451
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_setup.py:_flush():79] Loading settings from /home/comoz/.config/wandb/settings
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_setup.py:_flush():79] Loading settings from /home/comoz/main_project/knu_reinforcement_learning/wandb/settings
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'project2/A2C/A2C_v9/a2c_Rms_huber.py', 'program_abspath': '/home/comoz/main_project/knu_reinforcement_learning/project2/A2C/A2C_v9/a2c_Rms_huber.py', 'program': '/home/comoz/main_project/knu_reinforcement_learning/project2/A2C/A2C_v9/a2c_Rms_huber.py'}
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_init.py:_log_setup():533] Logging user logs to /home/comoz/main_project/knu_reinforcement_learning/wandb/run-20241122_112534-13540w2i/logs/debug.log
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_init.py:_log_setup():534] Logging internal logs to /home/comoz/main_project/knu_reinforcement_learning/wandb/run-20241122_112534-13540w2i/logs/debug-internal.log
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_init.py:init():619] calling init triggers
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_init.py:init():669] starting backend
2024-11-22 11:25:34,344 INFO    MainThread:1487451 [wandb_init.py:init():673] sending inform_init request
2024-11-22 11:25:34,345 INFO    MainThread:1487451 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-22 11:25:34,345 INFO    MainThread:1487451 [wandb_init.py:init():686] backend started and connected
2024-11-22 11:25:34,346 INFO    MainThread:1487451 [wandb_init.py:init():781] updated telemetry
2024-11-22 11:25:34,349 INFO    MainThread:1487451 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-22 11:25:34,791 INFO    MainThread:1487451 [wandb_init.py:init():867] starting run threads in backend
2024-11-22 11:25:34,852 INFO    MainThread:1487451 [wandb_run.py:_console_start():2451] atexit reg
2024-11-22 11:25:34,852 INFO    MainThread:1487451 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2024-11-22 11:25:34,852 INFO    MainThread:1487451 [wandb_run.py:_redirect():2364] Wrapping output streams.
2024-11-22 11:25:34,852 INFO    MainThread:1487451 [wandb_run.py:_redirect():2389] Redirects installed.
2024-11-22 11:25:34,853 INFO    MainThread:1487451 [wandb_init.py:init():911] run started, returning control to user process
2024-11-22 11:25:34,853 INFO    MainThread:1487451 [wandb_config.py:__setitem__():154] config set num_episodes = 20000 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f88c2791390>>
2024-11-22 11:25:34,853 INFO    MainThread:1487451 [wandb_run.py:_config_callback():1389] config_cb num_episodes 20000 None
2024-11-22 11:25:34,854 INFO    MainThread:1487451 [wandb_config.py:__setitem__():154] config set save_interval = 10000 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f88c2791390>>
2024-11-22 11:25:34,854 INFO    MainThread:1487451 [wandb_run.py:_config_callback():1389] config_cb save_interval 10000 None
2024-11-22 11:29:02,994 WARNING MsgRouterThr:1487451 [router.py:message_loop():75] message_loop has been closed
